Type,Price,Bedrooms,Bathrooms,Area,Furnished,Level,Compound,Payment_Option,Delivery_Date,Delivery_Term,City
Apartment,5300000,4,3,330.0,No,1,Nakheel,Cash,2024,Finished,New Cairo - El Tagamoa
Apartment,2103321,3,2,135.0,No,2,Mountain View iCity,Cash or Installment,2024,Finished,6th of October
Apartment,1550000,2,2,96.0,No,5,Madinaty,Cash,2024,Finished,Madinaty
Apartment,320000,3,1,130.0,No,2,Nakheel,Cash or Installment,2024,Finished,Nakheel
Duplex,3400000,2,2,210.0,No,1,Mountain View iCity,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,275000,2,1,90.0,No,1,Nakheel,Cash,2024,Finished,Nakheel
Apartment,2256000,3,3,177.0,No,1,AZAD,Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,3600000,3,3,193.0,No,2,Tag Sultan,Cash,2024,Finished,New Cairo - El Tagamoa
Apartment,2200000,3,2,120.0,No,1,Rehab City,Cash,2025,Finished,Rehab City
Apartment,5800000,3,3,178.0,No,3,Fifth Square,Cash or Installment,2024,Finished,New Cairo - El Tagamoa
Apartment,2300000,3,2,131.0,No,1,Rehab City,Cash,2024,Finished,Rehab City
Apartment,3000000,3,3,175.0,No,2,Madinaty,Cash,2024,Finished,Madinaty
Apartment,3150000,3,3,175.0,No,6,Madinaty,Cash,2024,Finished,Madinaty
Apartment,3000000,3,2,167.0,No,4,The Address East,Installment,2024,Finished,New Cairo - El Tagamoa
Apartment,4000000,3,3,210.0,No,5,Madinaty,Cash,2024,Finished,Madinaty
Apartment,1415000,3,3,178.0,No,1,Beit Al Watan,Cash or Installment,2025,Not Finished,New Cairo - El Tagamoa
Studio,1600000,1,1,85.0,No,1,Hyde Park New Cairo,Cash,2024,Finished,New Cairo - El Tagamoa
Apartment,3500000,2,2,99.0,No,3,AZAD,Installment,2025,Finished,New Cairo - El Tagamoa
Apartment,3300000,3,3,166.0,No,3,EL Patio ORO,Installment,2024,Not Finished,New Cairo - El Tagamoa
Apartment,753609,3,1,91.7,No,2,The Key,Cash or Installment,2024,Semi Finished,Mokattam
Apartment,1470000,3,2,116.0,No,1,Madinaty,Cash,2024,Finished,Madinaty
Apartment,2500000,3,3,148.0,No,1,Sun Capital,Installment,2024,Semi Finished,Hadayek 6th of October
Apartment,1486000,3,2,175.0,No,3,2020 Compound,Installment,2024,Semi Finished,Hadayek 6th of October
Apartment,2000000,2,2,125.0,No,1,Mountain View iCity,Cash,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,2200000,3,2,135.0,No,6,Madinaty,Cash,2024,Finished,Madinaty
Apartment,4800000,3,4,177.0,No,1,Sky Condos Sodic,Cash,2024,Not Finished,New Cairo - El Tagamoa
Apartment,850000,2,1,135.0,No,2,Not in Compound,Cash,2024,Finished,Sidi Beshr
Apartment,2700000,3,3,175.0,No,2,Stone Residence,Cash,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,1600000,2,2,96.0,No,5,Madinaty,Cash,2024,Finished,Madinaty
Apartment,1600000,3,2,190.0,No,8,Not in Compound,Cash,2024,Not Finished,Mansura
Apartment,900000,2,1,100.0,No,5,Maadi Gardens,Cash,2024,Finished,Katameya
Apartment,1620000,2,2,96.0,No,4,Madinaty,Cash,2024,Finished,Madinaty
Apartment,1840000,2,2,106.0,No,1,De Joya,Cash or Installment,2023,Not Finished,New Capital City
Apartment,2850000,3,2,170.0,No,1,Mountain View iCity,Cash or Installment,2024,Not Finished,6th of October
Apartment,2750000,3,3,165.0,No,1,Madinaty,Cash,2024,Finished,Madinaty
Duplex,3340000,3,2,190.0,No,1,Mountain View iCity,Cash or Installment,2025,Not Finished,Sheikh Zayed
Duplex,4750000,3,3,270.0,No,1,Mountain View iCity,Cash or Installment,2025,Not Finished,Sheikh Zayed
Apartment,2215000,3,2,100.0,No,1,Mountain View iCity,Cash or Installment,2025,Not Finished,Sheikh Zayed
Apartment,4000000,3,2,150.0,Yes,2,Fifth Square,Cash or Installment,2024,Finished,New Cairo - El Tagamoa
Apartment,1750000,4,2,220.0,No,9,Degla View,Cash,2024,Finished,Maadi
Apartment,2700000,3,2,145.0,No,1,Mountain View iCity,Cash or Installment,2025,Not Finished,Sheikh Zayed
Apartment,2300000,3,2,115.0,No,1,Mountain View iCity,Cash or Installment,2025,Not Finished,Sheikh Zayed
Apartment,2920000,3,2,160.0,No,1,Mountain View iCity,Cash or Installment,2025,Not Finished,Sheikh Zayed
Apartment,3015000,3,3,180.0,No,2,Beta Greens,Installment,2025,Semi Finished,Mostakbal City
Apartment,3000000,3,2,135.0,No,1,Mountain View iCity,Cash or Installment,2025,Not Finished,Sheikh Zayed
Apartment,3250000,3,3,176.0,No,4,Madinaty,Cash,2024,Finished,Madinaty
Apartment,2350000,3,3,131.0,No,1,Rehab City,Cash,2024,Finished,Rehab City
Apartment,1800000,2,1,99.0,No,3,Rehab City,Cash,2024,Finished,Rehab City
Duplex,3750000,3,3,210.0,No,1,Mountain View iCity,Cash or Installment,2025,Not Finished,Sheikh Zayed
Apartment,2500000,2,2,110.0,Yes,1,Rehab City,Cash,2024,Finished,Rehab City
Duplex,3375000,3,3,210.0,No,1,Mountain View iCity,Cash or Installment,2025,Not Finished,Sheikh Zayed
Apartment,2770000,3,3,145.0,No,1,Mountain View iCity,Cash or Installment,2025,Not Finished,Sheikh Zayed
Apartment,4450000,3,3,216.0,No,2,October Plaza Sodic,Installment,2024,Not Finished,6th of October
Apartment,2576000,3,3,184.0,No,1,Sephora Heights,Installment,2024,Not Finished,New Cairo - El Tagamoa
Apartment,1500000,2,1,82.0,No,4,Madinaty,Cash,2024,Finished,Madinaty
Apartment,1650000,3,2,135.0,No,2,Not in Compound,Cash,2024,Finished,Gianaclis
Apartment,1280000,2,2,93.0,No,3,Porto October,Cash,2024,Finished,Hadayek 6th of October
Apartment,2300000,3,2,139.0,No,6,Madinaty,Cash,2024,Finished,Madinaty
Apartment,2400000,3,2,211.0,No,3,Madinaty,Cash,2024,Finished,Madinaty
Apartment,3341800,3,2,190.0,No,2,Sephora Heights,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,2849000,3,2,185.0,No,2,Sephora Heights,Cash or Installment,2024,Semi Finished,Asyut City
Apartment,3350000,2,2,135.0,No,5,ZED Towers,Installment,2023,Finished,6th of October
Apartment,2977700,3,2,169.0,No,2,Sephora Heights,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,4269375,3,2,230.0,No,2,Sephora Heights,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,3635500,3,2,212.0,No,2,Sephora Heights,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,3344440,3,3,220.0,No,2,Sephora Heights,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,3033954,3,2,198.0,No,3,Sephora Heights,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,1470000,3,2,116.0,No,2,Madinaty,Cash,2024,Finished,Madinaty
Apartment,3270000,2,3,157.0,No,2,October Plaza Sodic,Cash or Installment,2024,Not Finished,6th of October
Apartment,1400000,3,2,120.0,No,6,Not in Compound,Cash,2024,Finished,Maamoura
Apartment,3033800,3,2,165.0,No,2,Sephora Heights,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Duplex,3370000,3,3,210.0,No,1,Mountain View iCity,Cash or Installment,2025,Not Finished,Sheikh Zayed
Apartment,2849000,3,2,185.0,No,2,Sephora Heights,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,2860000,3,2,150.0,No,1,Mountain View iCity,Cash or Installment,2025,Not Finished,Sheikh Zayed
Apartment,3700000,3,2,165.0,No,2,Palm Hills Alexandria,Cash or Installment,2025,Not Finished,Kafr Abdo
Apartment,2830000,3,2,105.0,No,1,Mountain View iCity,Cash or Installment,2025,Not Finished,Sheikh Zayed
Apartment,3500000,3,3,204.0,No,2,Dreamland,Cash,2024,Finished,6th of October
Apartment,3500000,3,3,170.0,No,3,Mountain View iCity,Installment,2025,Not Finished,New Cairo - El Tagamoa
Duplex,6800000,3,3,245.0,No,1,Sodic Westown,Cash,2024,Finished,Sheikh Zayed
Apartment,2500000,3,2,125.0,No,1,Kayan,Cash or Installment,2025,Finished,Sheikh Zayed
Apartment,5505000,3,3,236.0,No,1,October Plaza Sodic,Cash or Installment,2024,Semi Finished,Sheikh Zayed
Apartment,2900000,3,2,160.0,No,2,October Plaza Sodic,Cash or Installment,2024,Finished,Sheikh Zayed
Apartment,1390000,2,2,60.0,No,1,Kayan,Cash or Installment,2025,Semi Finished,Sheikh Zayed
Duplex,6850000,3,3,245.0,No,1,Sodic Westown,Cash,2024,Finished,Sheikh Zayed
Apartment,4381000,3,3,213.0,No,2,October Plaza Sodic,Cash or Installment,2024,Semi Finished,6th of October
Duplex,6900000,5,4,272.0,No,1,Palm Hills Alexandria,Cash or Installment,2024,Not Finished,Kafr Abdo
Apartment,4300000,2,3,125.0,No,1,Sodic Westown,Cash,2024,Finished,Sheikh Zayed
Apartment,1300000,3,2,140.0,No,5,Not in Compound,Cash,2024,Finished,Sheikh Zayed
Duplex,3300000,3,3,190.0,No,1,Mountain View iCity,Cash or Installment,2025,Not Finished,Sheikh Zayed
Apartment,2300000,3,2,145.0,No,2,Mountain View iCity,Cash or Installment,2025,Not Finished,Sheikh Zayed
Apartment,5100000,3,2,160.0,No,6,ZED Towers,Cash or Installment,2025,Finished,Sheikh Zayed
Studio,1200000,1,1,79.0,Yes,2,One Kattameya,Cash or Installment,2024,Finished,Katameya
Apartment,500030,2,1,120.0,Yes,4,Not in Compound,Cash,2024,Finished,Faisal
Apartment,2500000,3,2,106.0,No,1,Madinaty,Cash,2024,Finished,Madinaty
Apartment,760000,3,1,90.0,No,3,La Rose,Cash,2024,Finished,New Cairo - El Tagamoa
Apartment,1750000,2,2,95.0,No,1,Kayan,Cash or Installment,2025,Semi Finished,Sheikh Zayed
Apartment,2500000,2,1,140.0,Yes,1,Madinaty,Cash,2024,Finished,Madinaty
Apartment,2300000,3,1,143.0,No,1,Madinaty,Cash,2024,Finished,Madinaty
Apartment,1700000,3,2,108.0,No,1,Rehab City,Cash,2024,Finished,Rehab City
Apartment,1750000,3,3,261.0,No,1,Not in Compound,Cash,2024,Finished,Obour City
Apartment,2400000,2,2,136.0,No,2,Lake view Residence,Cash,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,1700000,3,2,190.0,Yes,11,Not in Compound,Cash,2025,Finished,Nasr City
Apartment,2936000,1,1,90.0,No,1,Palm Parks,Cash or Installment,2026,Finished,6th of October
Apartment,5473000,3,3,170.0,No,2,Palm Parks,Cash or Installment,2026,Finished,6th of October
Apartment,2700000,3,2,140.0,No,1,Madinaty,Installment,2024,Finished,Madinaty
Apartment,2750000,3,2,160.0,No,2,Mountain View Hyde Park,Cash,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,2350000,3,3,178.0,No,2,Stone Residence,Cash,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,3450000,4,3,200.0,No,2,Mountain View Hyde Park,Cash,2024,Not Finished,New Cairo - El Tagamoa
Apartment,2000000,2,2,96.0,No,1,Madinaty,Cash,2024,Finished,Madinaty
Apartment,1198000,2,1,85.0,No,4,Kattameya Gate,Cash or Installment,2025,Semi Finished,New Cairo - El Tagamoa
Apartment,1700000,3,2,103.0,No,3,Madinaty,Cash,2024,Finished,Madinaty
Apartment,2900000,4,3,360.0,Yes,1,Not in Compound,Cash,2024,Finished,Mokattam
Apartment,1600000,3,2,103.0,No,2,Madinaty,Cash,2024,Finished,Madinaty
Apartment,675000,2,1,110.0,No,3,Not in Compound,Cash,2024,Finished,6th of October
Apartment,1120000,3,3,170.0,No,1,El Khamayel,Cash,2025,Semi Finished,Sheikh Zayed
Apartment,400000,3,2,144.0,No,2,Taj City,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,6800000,4,3,234.0,No,1,Galleria,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,620000,2,1,90.0,No,3,2020 Compound,Cash,2024,Finished,Azarita
Apartment,3800000,3,3,310.0,No,1,Al Hayah,Cash,2024,Finished,Obour City
Apartment,1770000,3,2,116.0,No,1,Madinaty,Cash,2024,Finished,Madinaty
Apartment,110000,3,3,169.0,No,3,Al Maqsad,Installment,2024,Finished,New Capital City
Apartment,436000,3,3,173.0,No,2,Palm Hills New Cairo,Cash or Installment,2024,Not Finished,New Cairo - El Tagamoa
Apartment,5000000,3,3,200.0,No,1,Galleria,Cash or Installment,2024,Not Finished,New Cairo - El Tagamoa
Apartment,235000,3,2,145.0,No,2,Al Maqsad,Cash or Installment,2024,Finished,New Capital City
Apartment,1633000,3,3,199.0,No,1,High City,Cash or Installment,2024,Semi Finished,Obour City
Apartment,1850000,2,1,109.0,No,3,Rehab City,Cash or Installment,2024,Finished,Rehab City
Apartment,2500000,3,3,160.0,No,4,Rehab City,Cash,2024,Finished,Rehab City
Apartment,2000000,2,2,120.0,No,3,Rehab City,Cash,2024,Finished,Rehab City
Apartment,6100000,3,3,176.0,No,1,Galleria,Cash or Installment,2024,Not Finished,New Cairo - El Tagamoa
Apartment,3500000,3,3,165.0,No,3,Madinaty,Cash,2024,Finished,Madinaty
Apartment,850000,3,2,185.0,No,4,Not in Compound,Cash,2024,Finished,Hadayek al-Ahram
Apartment,2300000,2,2,135.0,No,2,Galleria,Cash or Installment,2024,Not Finished,New Cairo - El Tagamoa
Apartment,450000,3,3,150.0,No,2,Mountain View iCity,Installment,2024,Not Finished,New Cairo - El Tagamoa
Apartment,2710000,3,3,195.0,No,1,Sephora Heights,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Penthouse,6700000,4,3,240.0,No,1,Trio Gardens,Cash or Installment,2025,Finished,New Cairo - El Tagamoa
Apartment,2368000,3,2,154.0,No,2,Taj City,Cash or Installment,2025,Not Finished,New Cairo - El Tagamoa
Apartment,3550000,3,3,175.0,No,2,Madinaty,Cash,2024,Finished,Madinaty
Studio,1252000,2,1,78.0,No,2,Taj City,Cash or Installment,2025,Not Finished,New Cairo - El Tagamoa
Apartment,1000000,3,2,187.0,No,3,Not in Compound,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,1600000,2,1,82.0,Yes,4,Madinaty,Cash,2024,Finished,Madinaty
Apartment,180000,2,2,120.0,No,2,The Brooks,Cash or Installment,2025,Not Finished,New Cairo - El Tagamoa
Apartment,1650000,2,2,129.0,No,3,IL Bosco,Cash or Installment,2025,Semi Finished,New Capital City
Apartment,2019000,3,2,127.0,No,2,Taj City,Cash or Installment,2025,Not Finished,New Cairo - El Tagamoa
Apartment,3650000,3,3,175.0,No,2,Stone Residence,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,2517000,3,2,160.0,No,2,Taj City,Cash or Installment,2025,Not Finished,New Cairo - El Tagamoa
Apartment,4425000,3,2,181.0,No,3,Palm Hills New Cairo,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,2000000,2,1,130.0,Yes,3,Not in Compound,Cash,2024,Finished,New Cairo - El Tagamoa
Apartment,2476000,3,2,164.0,No,2,Sarai,Cash or Installment,2024,Not Finished,New Cairo - El Tagamoa
Apartment,2017000,3,2,169.0,No,3,Aria,Cash or Installment,2025,Semi Finished,Mostakbal City
Apartment,1250000,2,1,71.0,No,4,Madinaty,Cash,2024,Finished,Madinaty
Apartment,2000000,3,1,200.0,No,3,Not in Compound,Cash,2024,Finished,Nasr City
Apartment,1850000,2,2,96.0,No,2,Madinaty,Cash,2024,Finished,Madinaty
Apartment,2100000,2,2,128.0,No,2,Taj City,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,2395413,3,2,136.0,No,1,Sarai,Cash or Installment,2025,Not Finished,New Cairo - El Tagamoa
Apartment,4700000,3,3,257.0,No,1,Beverly Hills,Cash,2024,Semi Finished,Sheikh Zayed
Apartment,1932463,3,2,125.0,No,2,Sarai,Cash or Installment,2025,Not Finished,New Cairo - El Tagamoa
Apartment,366000,2,2,135.0,No,2,Galleria Moon Valley,Cash or Installment,2025,Semi Finished,New Cairo - El Tagamoa
Apartment,1111780,2,1,76.0,No,1,Sarai,Cash or Installment,2025,Not Finished,New Cairo - El Tagamoa
Apartment,2850000,3,3,162.0,No,3,Rehab City,Cash or Installment,2024,Finished,Rehab City
Apartment,1350000,2,1,70.0,No,3,Madinaty,Cash,2024,Finished,Madinaty
Apartment,1700000,2,1,107.0,No,5,Madinaty,Cash,2024,Finished,Madinaty
Apartment,3575000,3,2,215.0,No,2,Mountain View iCity,Cash or Installment,2025,Semi Finished,6th of October
Apartment,2860000,3,3,155.0,No,2,Mountain View iCity,Cash or Installment,2025,Not Finished,Sheikh Zayed
Apartment,2700000,3,2,140.0,No,1,Madinaty,Cash,2024,Finished,Madinaty
Apartment,2158093,3,2,143.0,No,5,Sarai,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,2810000,3,2,165.0,No,2,Rock Vera,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Studio,956295,2,1,56.0,No,2,Sarai,Cash or Installment,2024,Not Finished,New Cairo - El Tagamoa
Apartment,2000000,3,2,175.0,No,4,Dreamland,Cash,2024,Finished,6th of October
Duplex,3500000,3,3,195.0,Yes,10,Not in Compound,Cash,2024,Finished,Heliopolis
Apartment,2200000,2,1,135.0,No,4,Kattameya Gardens,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,3100000,3,3,154.0,No,2,La Fontaine Province,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,1911000,2,1,94.0,No,1,The Brooks,Cash or Installment,2026,Not Finished,New Cairo - El Tagamoa
Duplex,3500000,3,3,350.0,No,1,Not in Compound,Cash or Installment,2024,Finished,Rehab City
Apartment,1400000,3,2,116.0,No,1,Madinaty,Installment,2024,Finished,Madinaty
Apartment,1000000,2,3,149.0,No,2,The Axis,Cash or Installment,2023,Semi Finished,Sheikh Zayed
Apartment,3454000,3,3,190.0,No,3,The Brooks,Installment,2024,Not Finished,New Cairo - El Tagamoa
Apartment,2400000,3,2,145.0,Yes,3,Highland Park,Cash,2024,Finished,New Cairo - El Tagamoa
Apartment,3500000,3,2,170.0,No,2,Mountain View iCity,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,1120000,2,1,78.0,No,3,Madinaty,Installment,2024,Finished,Madinaty
Apartment,2438000,2,2,116.0,No,1,Taj City,Cash or Installment,2023,Not Finished,New Cairo - El Tagamoa
Apartment,3000000,3,2,135.0,No,4,Madinaty,Cash,2024,Finished,Madinaty
Apartment,142000,3,3,153.0,No,3,Al Maqsad,Cash or Installment,2024,Finished,New Capital City
Apartment,1614618,3,2,164.0,No,2,Sarai,Cash or Installment,2024,Not Finished,New Cairo - El Tagamoa
Penthouse,2750000,3,2,168.0,No,4,Mountain View Hyde Park,Cash,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,3500000,3,3,202.0,No,2,Madinaty,Cash,2024,Finished,Madinaty
Apartment,3500000,2,2,137.0,Yes,2,Beverly Hills,Cash,2024,Finished,Sheikh Zayed
Apartment,800000,2,1,120.0,Yes,2,Not in Compound,Cash,2024,Finished,Miami
Apartment,450000,2,1,70.0,No,1,Not in Compound,Cash,2024,Finished,Obour City
Apartment,3300000,3,2,157.0,No,1,Tag Sultan,Cash or Installment,2025,Semi Finished,New Cairo - El Tagamoa
Apartment,1799484,3,2,144.0,No,1,Sarai,Cash or Installment,2024,Not Finished,New Cairo - El Tagamoa
Studio,850000,1,1,56.0,No,1,Madinaty,Installment,2024,Finished,Madinaty
Apartment,2200000,3,3,136.0,No,1,Rehab City,Cash,2024,Finished,Rehab City
Apartment,233000,2,2,140.0,No,2,Midtown Sky,Cash or Installment,2024,Semi Finished,New Capital City
Apartment,7500000,3,3,220.0,No,1,Uptown Cairo,Cash,2025,Finished,Mokattam
Duplex,10250000,3,3,340.0,No,1,Uptown Cairo,Cash,2025,Finished,Mokattam
Duplex,3830000,2,2,210.0,No,1,Mountain View iCity,Cash,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,1246307,2,2,116.0,No,3,Yaru,Cash or Installment,2025,Semi Finished,New Capital City
Apartment,1750000,3,3,153.0,No,1,El Khamayel,Cash,2024,Not Finished,Sheikh Zayed
Apartment,4500000,3,3,192.0,No,2,Eastown,Cash,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,2800000,3,3,204.0,No,3,Not in Compound,Cash,2024,Finished,Stanley
Apartment,3200000,3,2,260.0,No,5,Not in Compound,Cash,2024,Finished,Laurent
Apartment,2650000,3,2,188.0,No,3,Sun Capital,Installment,2024,Semi Finished,6th of October
Duplex,3588000,2,2,210.0,No,1,Mountain View iCity,Cash,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,1100000,3,2,130.0,No,2,Dar Misr,Cash,2024,Finished,New Cairo - El Tagamoa
Apartment,2500000,3,3,119.0,No,4,Rehab City,Cash,2024,Finished,Rehab City
Apartment,2300000,3,2,135.0,No,6,Madinaty,Cash,2024,Finished,Madinaty
Duplex,4330000,4,4,244.0,No,1,Hyde Park New Cairo,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,5076300,3,3,161.0,No,7,ZED Towers,Installment,2025,Finished,Sheikh Zayed
Apartment,8850298,3,3,168.0,No,11,ZED Towers,Installment,2025,Finished,Sheikh Zayed
Apartment,9620000,4,4,240.0,No,10,ZED Towers,Installment,2025,Finished,Sheikh Zayed
Apartment,1200000,2,1,70.0,No,5,Madinaty,Cash,2024,Finished,Madinaty
Apartment,690000,3,2,132.0,No,1,Moon Garden,Installment,2024,Semi Finished,Obour City
Apartment,850000,3,3,177.0,No,1,Not in Compound,Cash or Installment,2024,Not Finished,6th of October
Studio,1850000,1,1,88.0,Yes,1,The Village,Cash,2024,Finished,New Cairo - El Tagamoa
Apartment,1800000,3,3,180.0,No,3,Sarai,Cash,2023,Semi Finished,Mostakbal City
Apartment,1840000,2,2,148.0,No,1,EL Patio 7,Installment,2024,Finished,New Cairo - El Tagamoa
Apartment,389300,3,2,158.0,No,3,Galleria Moon Valley,Installment,2024,Not Finished,New Cairo - El Tagamoa
Penthouse,1650000,3,2,160.0,No,12,Mountain View iCity,Cash or Installment,2024,Not Finished,New Cairo - El Tagamoa
Apartment,2100000,2,2,130.0,No,2,Galleria Moon Valley,Cash,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,1450000,3,2,160.0,No,1,Dreamland,Cash or Installment,2025,Not Finished,6th of October
Apartment,3075000,3,2,205.0,No,1,Palm Hills New Cairo,Cash,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,2800000,2,2,157.0,No,1,Lake view Residence,Cash,2024,Not Finished,New Cairo - El Tagamoa
Apartment,2600000,4,3,220.0,No,1,Stone Residence,Cash,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,1250000,3,3,150.0,Yes,1,Dar Misr,Cash,2024,Finished,Hadayek 6th of October
Apartment,1326600,2,2,120.0,No,4,Midtown Condo,Cash or Installment,2023,Not Finished,New Capital City
Apartment,1485000,3,2,135.0,No,2,De Joya,Installment,2023,Not Finished,New Capital City
Apartment,3447000,3,3,185.0,No,2,Palm Hills New Cairo,Installment,2024,Not Finished,New Cairo - El Tagamoa
Apartment,2900000,2,2,140.0,No,2,Stone Residence,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,3000000,3,3,161.0,No,1,Rehab City,Cash,2024,Finished,Rehab City
Apartment,2350000,3,2,160.0,No,4,Not in Compound,Cash,2024,Finished,Glim
Apartment,3250000,3,3,162.0,No,3,Rehab City,Cash,2024,Finished,Rehab City
Penthouse,4100000,3,2,166.0,No,4,Mountain View Hyde Park,Cash or Installment,2024,Finished,New Cairo - El Tagamoa
Apartment,6250000,3,2,165.0,No,1,EL Patio 7,Cash or Installment,2024,Finished,New Cairo - El Tagamoa
Penthouse,4250000,3,3,300.0,No,12,Granda,Cash or Installment,2024,Semi Finished,Shorouk City
Apartment,1720000,3,3,186.0,No,4,Hyde Park New Cairo,Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,2750000,3,2,143.0,No,1,Rehab City,Cash,2024,Finished,Rehab City
Apartment,1850000,3,3,170.0,No,1,Madinaty,Installment,2024,Finished,Madinaty
Apartment,2987000,3,3,191.0,No,2,O West,Installment,2024,Finished,Sheikh Zayed
Apartment,930000,2,2,100.0,No,1,The Pearl,Cash or Installment,2025,Semi Finished,New Mansoura
Apartment,2400000,3,3,175.0,No,2,Mountain View iCity,Cash,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,3450000,3,2,167.0,No,5,Madinaty,Cash,2024,Finished,Madinaty
Duplex,4960000,4,4,244.0,No,1,Hyde Park New Cairo,Cash,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,2200000,2,2,100.0,No,2,Mountain View iCity,Installment,2025,Semi Finished,6th of October
Apartment,2200000,3,2,124.0,No,5,Madinaty,Cash,2024,Finished,Madinaty
Apartment,500000,3,2,172.0,No,2,Hyde Park New Cairo,Cash or Installment,2025,Semi Finished,New Cairo - El Tagamoa
Apartment,1850000,3,3,160.0,No,5,Madinaty,Installment,2024,Finished,Madinaty
Apartment,1052000,3,3,166.0,No,3,Not in Compound,Installment,2024,Semi Finished,New Heliopolis
Apartment,3150000,4,3,200.0,No,5,Madinaty,Cash or Installment,2024,Finished,Madinaty
Apartment,1500000,2,1,92.0,No,3,Madinaty,Cash or Installment,2024,Finished,Madinaty
Duplex,3851000,3,3,200.0,No,1,Mountain View iCity,Installment,2025,Semi Finished,6th of October
Apartment,138000,3,2,188.0,No,2,Vinci,Cash or Installment,2024,Not Finished,New Capital City
Apartment,1390000,3,3,190.0,No,1,High City,Cash or Installment,2024,Semi Finished,Obour City
Apartment,4200000,3,4,191.0,No,3,Eastown,Cash,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,633500,2,1,102.0,No,1,Not in Compound,Installment,2024,Semi Finished,New Heliopolis
Apartment,900000,2,1,82.0,No,1,Madinaty,Installment,2024,Finished,Madinaty
Duplex,4425000,3,3,210.0,No,1,Mountain View iCity,Installment,2026,Semi Finished,6th of October
Apartment,1200000,1,1,50.0,Yes,1,Madinaty,Cash,2024,Finished,Madinaty
Apartment,1765000,2,2,90.0,No,1,Kayan,Installment,2025,Finished,6th of October
Apartment,1505380,3,2,129.0,No,1,Sarai,Cash or Installment,2024,Not Finished,New Cairo - El Tagamoa
Apartment,1450000,3,2,130.0,Yes,5,Dar Misr,Cash,2024,Finished,New Cairo - El Tagamoa
Apartment,2750000,3,2,131.0,No,3,Rehab City,Cash,2024,Finished,Rehab City
Apartment,800000,2,1,78.0,No,3,Madinaty,Installment,2024,Finished,Madinaty
Apartment,3900000,3,3,177.0,No,3,Madinaty,Cash,2024,Finished,Madinaty
Apartment,290000,3,3,165.0,No,3,Sephora Heights,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,2600000,3,2,140.0,No,1,Madinaty,Cash or Installment,2024,Finished,Madinaty
Studio,975000,2,1,57.0,No,2,Sarai,Cash or Installment,2024,Not Finished,New Cairo - El Tagamoa
Apartment,2200000,3,2,116.0,No,1,Madinaty,Installment,2024,Finished,Madinaty
Duplex,270000,3,2,145.0,Yes,2,2020 Compound,Cash or Installment,2025,Finished,Mostakbal City
Apartment,195000,2,1,121.0,No,2,The Brooks,Cash or Installment,2025,Semi Finished,New Cairo - El Tagamoa
Apartment,1850000,3,3,160.0,No,1,Madinaty,Cash or Installment,2024,Finished,Madinaty
